Season,Player_ID,Player_Name,Position,Team,Conference,Usage_Overall,Team_Total_Usage,Player_Usage_Share,Rank_Within_Team,Top_Player_Flag,Top_3_Flag,Top_Player_Share,Top_3_Share,Distinct_Season_Count
2021,4372568,Nakia Watson,RB,Washington State,Pac-12,0.079,1.942,4.1%,6,0,0,26.8%,61.4%,3.00
2021,4372569,Brady Schipper,RB,Wisconsin,Big Ten,0.066,1.651,4.0%,9,0,0,21.7%,54.0%,2.00
2021,4372572,Jack Eschenbach,TE,Wisconsin,Big Ten,0.019,1.651,1.2%,16,0,0,21.7%,54.0%,2.00
2021,4372597,Jamarye Joiner,WR,Arizona,Pac-12,0.060,2.116,2.8%,8,0,0,21.2%,57.3%,2.00
2021,4372601,Darrius Smith,RB,Arizona,Pac-12,0.033,2.116,1.6%,13,0,0,21.2%,57.3%,1.00
2021,4372715,Robby Rowell,QB,California,Pac-12,0.016,2.197,0.7%,19,0,0,31.0%,66.1%,1.00
2021,4372716,Nikko Remigio,WR,California,Pac-12,0.083,2.197,3.8%,4,0,0,31.0%,66.1%,1.00
2021,4372717,Marcel Dancy,RB,California,Pac-12,0.064,2.197,2.9%,7,0,0,31.0%,66.1%,1.00
2021,4372742,Monroe Young,WR,California,Pac-12,0.020,2.197,0.9%,16,0,0,31.0%,66.1%,3.00
2021,4372768,Phil Jurkovec,QB,Boston College,ACC,0.379,2.001,18.9%,2,0,1,21.3%,53.6%,3.00
2021,4373015,Craig Williams,RB,Baylor,Big 12,0.033,1.715,1.9%,10,0,0,25.5%,60.1%,2.00
2021,4373016,Josh Fleeks,WR,Baylor,Big 12,0.027,1.715,1.6%,11,0,0,25.5%,60.1%,3.00
2021,4373030,Ben Sims,TE,Baylor,Big 12,0.054,1.715,3.1%,8,0,0,25.5%,60.1%,2.00
