Season,Id,Name,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns
2021,4051645,Joe Mancuso,QB,Richmond,,0.018,0,0.031,0,0.053,0,0,0.038
2021,4051824,Justin Covington,RB,Villanova,,0.133,0.054,0.261,0.154,0.158,0.071,0.182,0.074
2021,4051835,Josh McGrigg,WR,St. Francis (PA),,0.048,0.1,0,0.043,0,0.143,0.025,0.091
2021,4051842,Todd Summers,TE,Villanova,,0.083,0.135,0,0.077,0.053,0.071,0.061,0.111
2021,4051874,Jordan Freeman,RB,North Carolina Central,,0.093,0.033,0.182,0.143,0.05,0.091,0.108,0.059
2021,4051889,Zach Larkin,QB,Indiana State,,0.071,0.083,0.05,0.136,0,0,0.108,0
2021,4052178,Charles Williams,RB,UNLV,MWC,0.344,0.047,0.668,0.464,0.302,0.185,0.41,0.225
2021,4052217,Justin Smith,WR,Norfolk State,,0.079,0.162,0.021,0,0.069,0.2,0.037,0.143
2021,4052788,Eric Collins,WR,Massachusetts,Ind,0.047,0.089,0.011,0.031,0.04,0.083,0.029,0.081
2021,4056043,Giovanni Fauolo,TE,UNLV,MWC,0.082,0.142,0,0.039,0.115,0.128,0.066,0.111
2021,4056052,Armani Rogers,QB,Ohio,MAC,0.174,0.158,0.191,0.154,0.16,0.234,0.164,0.197
2021,4058545,Jason Epps,WR,Towson,,0.052,0.077,0,0,0.1,0.077,0.03,0.08
2021,4062711,Ethan Fernea,RB,UCLA,PAC,0.04,0,0.064,0.032,0.037,0.068,0.049,0.014
