Season,Team,Conference,Points_for,Points_against
2021,Greeneville,South Atlantic,19,24
2021,Winston-Salem,CIAA,14,19
2021,Central Missouri,Mid America,28,31
2021,Ball State,Mid-American,12,22
2021,Western Michigan,Mid-American,23,3
2021,Washburn,Mid America,47,41
2021,Lincoln (MO),Mid America,48,49
2021,Delaware State,MEAC,10,47
2021,Eastern Michigan,Mid-American,59,21
2021,Elon,CAA,31,34
2021,Furman,Southern,3,24
2021,Tennessee Tech,OVC,14,28
2021,Northern Illinois,Mid-American,41,14
2021,Utah,Pac-12,24,13
2021,Northwest Missouri St,Mid America,38,0
2021,University of Mary,Northern Sun,38,48
2021,Tiffin,Great Midwest Athletic,35,38
2021,Southern Nazarene,Great American,10,31
2021,Missouri Southern State,Mid America,21,42
2021,Western Colorado,Rocky Mountain,42,0
2021,Colorado Mesa,Rocky Mountain,24,17
2021,Bemidji State,Northern Sun,24,52
2021,Southeast Missouri State,OVC,47,14
2021,Samford,Southern,48,55
2021,Jackson State,SWAC,24,17
2021,Black Hills State,Rocky Mountain,51,48
2021,Kentucky State,SIAC,34,28
2021,Ferris State,GLIAC,38,0
2021,Northern Colorado,Big Sky,17,10
2021,Idaho State,Big Sky,21,23
2021,Montana,Big Sky,39,7
2021,Eastern Kentucky,AWC,35,27
2021,Southern Illinois,MVFC,35,17
2021,Michigan,Big Ten,20,13
2021,Baylor,Big 12,31,29
